0;1;2;3;4;5;6;7;8;9;10;11;12
Ocorrência de Parada;;;;;;;;;;;;
Empresa;;Prodwin Tecnologias;;;;;;;;;;
Período;;2026-03-19 00:00:00;2026-03-19 00:00:00;;;;;;;;;
Grupo de Máquina;;ARAGUARI;;;;;;;;;;
;;;;;;;;;;;;
Máquina;OP;Produto;Parada;Motivo Parada;Turno;Inicio;Fim;Duração;Tempo sem peso;Tempo com peso;Técnico;Complemento
30;0616240993;060200801005;GO4098;*                                  Setup - Enxague;3O. TURNO;2026-03-19 02:43:01.433000;2026-03-19 02:44:05.667000;0:01:04.234000;0:01:04.234000;0:00:00;;
30;0616240967;060200301006;GO4098;*                                  Setup - Enxague;3O. TURNO;2026-03-19 02:44:05.667000;2026-03-19 02:53:15.420000;0:09:09.753000;0:09:09.753000;0:00:00;;
30;0616240967;060200301006;GO4111;*                                  Esterilização Programada;3O. TURNO;2026-03-19 02:53:15.420000;2026-03-19 03:37:22.817000;0:44:07.397000;0:44:07.397000;0:00:00;;
30;0616240967;060200301006;GO4103;*                                  COP PERACÉTICO;3O. TURNO;2026-03-19 03:37:22.817000;2026-03-19 03:45:21.677000;0:07:58.860000;0:07:58.860000;0:00:00;;
30;0616240967;060200301006;GR4181;*                                  Setup - Entrada de Suco;3O. TURNO;2026-03-19 03:45:21.677000;2026-03-19 03:48:48.160000;0:03:26.483000;0:03:26.483000;0:00:00;;
30;0616240967;060200301006;GR4181;*                                  Setup - Entrada de Suco;3O. TURNO;2026-03-19 03:51:22.257000;2026-03-19 03:56:55.987000;0:05:33.730000;0:05:33.730000;0:00:00;;
30;0616240967;060200301006;GR4181;*                                  Setup - Entrada de Suco;3O. TURNO;2026-03-19 03:59:29.197000;2026-03-19 04:00:07.473000;0:00:38.276000;0:00:38.276000;0:00:00;;
30;0616240967;060200301006;GR4181;*                                  Setup - Entrada de Suco;3O. TURNO;2026-03-19 04:00:13.897000;2026-03-19 04:00:20.107000;0:00:06.210000;0:00:06.210000;0:00:00;;
30;0616240967;060200301006;GR4181;*                                  Setup - Entrada de Suco;3O. TURNO;2026-03-19 04:06:38.913000;2026-03-19 04:06:55.647000;0:00:16.734000;0:00:16.734000;0:00:00;;
30;0616240967;060200301006;GO4037;Falha no Envolvimento com filme;3O. TURNO;2026-03-19 04:07:06.873000;2026-03-19 04:07:07.737000;0:00:00.864000;0:00:00;0:00:00.864000;;
30;0616240967;060200301006;GO4037;Falha no Envolvimento com filme;3O. TURNO;2026-03-19 04:08:10.270000;2026-03-19 04:08:16.117000;0:00:05.847000;0:00:00;0:00:05.847000;;
30;0616240967;060200301006;GO4037;Falha no Envolvimento com filme;3O. TURNO;2026-03-19 04:08:21.630000;2026-03-19 04:15:57.887000;0:07:36.257000;0:00:00;0:07:36.257000;;
30;0616240967;060200301006;GO4037;Falha no Envolvimento com filme;3O. TURNO;2026-03-19 04:16:53.763000;2026-03-19 04:17:42.803000;0:00:49.040000;0:00:00;0:00:49.040000;;
30;0616240967;060200301006;GO4037;Falha no Envolvimento com filme;3O. TURNO;2026-03-19 04:19:03.493000;2026-03-19 04:22:16.423000;0:03:12.930000;0:00:00;0:03:12.930000;;
30;0616240967;060200301006;GO4037;Falha no Envolvimento com filme;3O. TURNO;2026-03-19 04:24:40.460000;2026-03-19 04:25:23.103000;0:00:42.643000;0:00:00;0:00:42.643000;;
30;0616240967;060200301006;GO4037;Falha no Envolvimento com filme;3O. TURNO;2026-03-19 04:30:40.760000;2026-03-19 04:31:13.017000;0:00:32.257000;0:00:00;0:00:32.257000;;
30;0616240967;060200301006;GO4037;Falha no Envolvimento com filme;3O. TURNO;2026-03-19 04:34:02.990000;2026-03-19 04:34:16.713000;0:00:13.723000;0:00:00;0:00:13.723000;;
