Dia;LinhaProducao;Hora;OEE;Produto;Paradas;TempoTotalParada
14/03/2026;PET;03:00 - 04:00;0.00%;060101202092 - MAGUARY SELECAO UVA E MACA 6X1350ML;GP4001 -                                   Sem Demanda de Produçăo;1:00:00.000
14/03/2026;PET;04:00 - 05:00;0.00%;060101202092 - MAGUARY SELECAO UVA E MACA 6X1350ML;GP4001 -                                   Sem Demanda de Produçăo;1:00:00.000
14/03/2026;PET;05:00 - 06:00;0.00%;060101202092 - MAGUARY SELECAO UVA E MACA 6X1350ML;GP4001 -                                   Sem Demanda de Produçăo | GM4098 - Aguardando manutençăo mecânica;1:00:00.000
14/03/2026;PET;06:00 - 07:00;0.00%;060101202092 - MAGUARY SELECAO UVA E MACA 6X1350ML;GM4006 - Falha na aplicaçăo de nitrogęnio | GM4098 - Aguardando manutençăo mecânica;1:00:00.000
14/03/2026;PET;07:00 - 07:35;11.70%;060101202092 - MAGUARY SELECAO UVA E MACA 6X1350ML;GM4006 - Falha na aplicaçăo de nitrogęnio | GQ4005 -                                   Aguardando Análises | GR4181 -                                   Setup - Entrada de Suco | GN4001 -                                    Falta de Garrafas | 999 - Microparada;0:33:52.277
14/03/2026;PET;07:35 - 08:00;93.44%;060101202092 - MAGUARY SELECAO UVA E MACA 6X1350ML;GQ4005 -                                   Aguardando Análises;0:19:54.903
14/03/2026;PET;08:00 - 09:00;64.17%;060101202092 - MAGUARY SELECAO UVA E MACA 6X1350ML;GQ4005 -                                   Aguardando Análises | GO4035 - Falha na Separaçăo de Garrafas | GO4051 - Falha no transporte de entrada de caixas do Robô | GN4001 -                                    Falta de Garrafas | 999 - Microparada;0:28:49.278
14/03/2026;PET;09:00 - 10:00;8.04%;060101202092 - MAGUARY SELECAO UVA E MACA 6X1350ML;GM4051 - Falha no transporte de entrada de caixas do Robô | GN4001 -                                    Falta de Garrafas | 999 - Microparada;0:53:41.821
14/03/2026;PET;10:00 - 11:00;78.41%;060101202092 - MAGUARY SELECAO UVA E MACA 6X1350ML;GN4001 -                                    Falta de Garrafas | GM4051 - Falha no transporte de entrada de caixas do Robô | 999 - Microparada;0:11:02.960
14/03/2026;PET;11:00 - 12:00;87.22%;060101202092 - MAGUARY SELECAO UVA E MACA 6X1350ML;GN4001 -                                    Falta de Garrafas | 999 - Microparada | GO4035 - Falha na Separaçăo de Garrafas;0:13:24.341
14/03/2026;PET;12:00 - 13:00;81.62%;060101202092 - MAGUARY SELECAO UVA E MACA 6X1350ML;GM4051 - Falha no transporte de entrada de caixas do Robô | 999 - Microparada | GN4001 -                                    Falta de Garrafas | GO4035 - Falha na Separaçăo de Garrafas;0:10:56.649
14/03/2026;PET;13:00 - 14:00;75.28%;060101202092 - MAGUARY SELECAO UVA E MACA 6X1350ML;GM4051 - Falha no transporte de entrada de caixas do Robô | GN4001 -                                    Falta de Garrafas | 999 - Microparada;0:15:57.225
14/03/2026;PET;14:00 - 15:00;53.59%;060101202092 - MAGUARY SELECAO UVA E MACA 6X1350ML;GM4055 - Falha na formaçăo de camadas | GM4051 - Falha no transporte de entrada de caixas do Robô | GN4001 -                                    Falta de Garrafas | 999999999 - Parada Nao Informada | GM4007 - Falha na aplicaçăo de tampa | 999 - Microparada;0:28:33.030
14/03/2026;PET;15:00 - 15:04;94.79%;060101202092 - MAGUARY SELECAO UVA E MACA 6X1350ML;GN4001 -                                    Falta de Garrafas;0:01:24.560
14/03/2026;SIG 200/150ML - CFA 112;00:00 - 01:00;64.75%;060101201030 - REFRESCO SABORIZADO UVA M DAFRUTA PPB 27X200ML;CM2043 - Falha no encaixotamento | 999 - Microparada;0:17:59.907
14/03/2026;SIG 200/150ML - CFA 112;01:00 - 02:00;81.81%;060101201030 - REFRESCO SABORIZADO UVA M DAFRUTA PPB 27X200ML;CM2043 - Falha no encaixotamento | 999 - Microparada;0:05:48.955
